0.0,0.0,3.0
-0.00523,-0.0
-0.00578,-0.0
-0.00622,-0.0
-0.00644,-0.0
-0.00633,-0.0
-0.006,-0.0
-0.00556,-0.0
-0.00534,-0.0
-0.00523,-0.0
-0.00556,-0.0
-0.006,-0.0
-0.00644,-0.0
-0.00666,-0.0
-0.00688,-0.0
-0.00677,-0.0
-0.00666,-0.0
-0.00611,-0.0
-0.00578,-0.0
-0.00523,-0.0
-0.0049,-0.0
-0.00457,-0.0
-0.00446,-0.0
-0.00446,-0.0
-0.00457,-0.0
-0.00479,-0.0
-0.00501,-0.0
-0.00501,-0.0
-0.00501,-0.0
-0.0049,-0.0
-0.0049,-0.0
-0.0049,-0.0
-0.00512,-0.0
-0.00567,-0.0
-0.00633,-0.0
-0.00688,-0.0
-0.00721,-0.0
-0.00721,-0.0
-0.00677,-0.0
-0.00611,-0.0
-0.00523,-0.0
-0.00446,-0.0
-0.00391,-0.0
-0.00358,-0.0
-0.00347,-0.0
-0.00358,-0.0
-0.00369,-0.0
-0.0038,-0.0
-0.00391,-0.0
-0.00402,-0.0
-0.00413,-0.0
-0.00435,-0.0
-0.00479,-0.0
-0.00512,-0.0
-0.00556,-0.0
-0.00578,-0.0
-0.006,-0.0
-0.006,-0.0
-0.006,-0.0
-0.00578,-0.0
-0.00567,-0.0
-0.00556,-0.0
-0.00578,-0.0
-0.00622,-0.0
-0.00688,-0.0
-0.00743,-0.0
-0.00787,-0.0
-0.00798,-0.0
-0.00787,-0.0
-0.00743,-0.0
-0.00721,-0.0
-0.00688,-0.0
-0.00677,-0.0
-0.00655,-0.0
-0.00644,-0.0
-0.00622,-0.0
-0.00633,-0.0
-0.00633,-0.0
-0.00655,-0.0
-0.00666,-0.0
-0.00666,-0.0
-0.00655,-0.0
-0.00644,-0.0
-0.00622,-0.0
-0.00622,-0.0
-0.00622,-0.0
-0.00644,-0.0
-0.00644,-0.0
-0.00655,-0.0
-0.00655,-0.0
-0.00655,-0.0
-0.00633,-0.0
-0.00611,-0.0
-0.00567,-0.0
-0.00545,-0.0
-0.00512,-0.0
-0.00501,-0.0
-0.0049,-0.0
-0.0049,-0.0
-0.00479,-0.0
-0.0049,-0.0
-0.00501,-0.0
-0.00545,-0.0
-0.00589,-0.0
-0.00633,-0.0
-0.00644,-0.0
-0.00677,-0.0
-0.00666,-0.0
-0.00666,-0.0
-0.00655,-0.0
-0.00666,-0.0
-0.00677,-0.0
-0.0071,-0.0
-0.00721,-0.0
-0.00732,-0.0
-0.00721,-0.0
-0.00688,-0.0
-0.00644,-0.0
-0.006,-0.0
-0.00578,-0.0
-0.00567,-0.0
-0.00567,-0.0
-0.00589,-0.0
-0.00622,-0.0
-0.00655,-0.0
-0.00677,-0.0
-0.00688,-0.0
-0.00677,-0.0
-0.00655,-0.0
-0.00633,-0.0
-0.00633,-0.0
-0.00633,-0.0
-0.00644,-0.0
-0.00644,-0.0
-0.00633,-0.0
-0.00589,-0.0
-0.00534,-0.0
-0.00479,-0.0
-0.00435,-0.0
-0.00424,-0.0
-0.00457,-0.0
-0.00523,-0.0
-0.006,-0.0
-0.00655,-0.0
-0.00688,-0.0
-0.00677,-0.0
-0.00644,-0.0
-0.00611,-0.0
-0.006,-0.0
-0.00611,-0.0
-0.00655,-0.0
-0.00688,-0.0
-0.00732,-0.0
-0.00754,-0.0
-0.00765,-0.0
-0.00765,-0.0
-0.00754,-0.0
-0.00732,-0.0
-0.00721,-0.0
-0.0071,-0.0
-0.00699,-0.0
-0.00677,-0.0
-0.00644,-0.0
-0.00611,-0.0
-0.00589,-0.0
-0.00567,-0.0
-0.00567,-0.0
-0.00578,-0.0
-0.006,-0.0
-0.00611,-0.0
-0.00622,-0.0
-0.00622,-0.0
-0.00622,-0.0
-0.006,-0.0
-0.00589,-0.0
-0.00567,-0.0
-0.00589,-0.0
-0.00622,-0.0
-0.00688,-0.0
-0.00754,-0.0
-0.00809,-0.0
-0.00842,-0.0
-0.00864,-0.0
-0.00842,-0.0
-0.0082,-0.0
-0.00765,-0.0
-0.00721,-0.0
-0.00666,-0.0
-0.00644,-0.0
-0.00622,-0.0
-0.00633,-0.0
-0.00644,-0.0
-0.00644,-0.0
-0.00633,-0.0
-0.00633,-0.0
-0.00622,-0.0
-0.00633,-0.0
-0.00655,-0.0
-0.00688,-0.0
-0.0071,-0.0
-0.00721,-0.0
-0.00699,-0.0
-0.00666,-0.0
-0.00611,-0.0
-0.00567,-0.0
-0.00534,-0.0
-0.00534,-0.0
-0.00534,-0.0
-0.00556,-0.0
-0.00567,-0.0
-0.00567,-0.0
-0.00556,-0.0
-0.00556,-0.0
-0.00556,-0.0
-0.00578,-0.0
-0.00589,-0.0
-0.00622,-0.0
-0.00644,-0.0
-0.00534,-0.0
0.00445,-0.0
0.03899,-0.0
0.12368,-0.0
0.2856,-0.0
0.54662,-0.0
0.91016,-0.0
1.35543,-0.0
1.83788,-0.0
2.30316,-0.0
2.69926,-0.0
2.98768,-0.0
3.14706,-0.0
3.17423,-0.0
3.07655,-0.0
2.86701,-0.0
2.56089,-0.0
2.17524,-0.0
1.72788,-0.0
1.23817,-0.0
0.72614,-0.0
0.21388,-0.0
-0.27561,-0.0
-0.71867,-0.0
-1.09343,-0.0
-1.38075,-0.0
-1.5673,-0.0
-1.64606,-0.0
-1.61735,-0.0
-1.48711,-0.0
-1.26701,-0.0
-0.97255,-0.0
-0.62331,-0.0
-0.24074,-0.0
0.15096,0.0
0.52726,0.0
0.86374,0.0
1.13841,0.0
1.3331,0.0
1.43529,0.0
1.43903,0.0
